loss;epoch;iteration;global_iteration
32.679222106933594;0;100;100
12.761285781860352;0;200;200
11.85890007019043;0;300;300
11.714343070983887;0;400;400
11.509196281433105;0;500;500
10.775348663330078;0;600;600
13.209501266479492;0;700;700
10.348997116088867;0;800;800
12.545924186706543;0;900;900
10.387001991271973;0;1000;1000
9.970008850097656;0;1100;1100
10.673955917358398;0;1200;1200
9.892558097839355;0;1300;1300
10.127071380615234;0;1400;1400
9.492530822753906;0;1500;1500
8.922770500183105;1;99;1600
7.564979076385498;1;199;1700
7.335833549499512;1;299;1800
5.889469623565674;1;399;1900
5.556585788726807;1;499;2000
5.1264472007751465;1;599;2100
7.364920139312744;1;699;2200
3.7098770141601562;1;799;2300
5.028244495391846;1;899;2400
5.234337329864502;1;999;2500
4.119770050048828;1;1099;2600
3.123958110809326;1;1199;2700
4.43422269821167;1;1299;2800
3.9073023796081543;1;1399;2900
2.513129949569702;1;1499;3000
3.8415651321411133;2;98;3100
3.336521863937378;2;198;3200
3.6805968284606934;2;298;3300
2.3074193000793457;2;398;3400
2.1317055225372314;2;498;3500
2.055387258529663;2;598;3600
1.8666973114013672;2;698;3700
3.533775568008423;2;798;3800
3.098175048828125;2;898;3900
3.500359296798706;2;998;4000
2.0064313411712646;2;1098;4100
1.4819077253341675;2;1198;4200
0.9436941146850586;2;1298;4300
2.513903856277466;2;1398;4400
1.9667187929153442;2;1498;4500
2.3524351119995117;3;97;4600
0.906734824180603;3;197;4700
1.5222145318984985;3;297;4800
2.4410698413848877;3;397;4900
1.960426926612854;3;497;5000
1.480522871017456;3;597;5100
2.1484363079071045;3;697;5200
1.6765458583831787;3;797;5300
0.8872357606887817;3;897;5400
2.7861416339874268;3;997;5500
3.089024543762207;3;1097;5600
4.2126617431640625;3;1197;5700
1.4298126697540283;3;1297;5800
1.4011133909225464;3;1397;5900
3.5356640815734863;3;1497;6000
1.7903367280960083;4;96;6100
1.8824806213378906;4;196;6200
1.216512680053711;4;296;6300
0.8030825257301331;4;396;6400
1.1458218097686768;4;496;6500
0.9753437042236328;4;596;6600
1.9508897066116333;4;696;6700
1.632997989654541;4;796;6800
1.4104615449905396;4;896;6900
1.7058254480361938;4;996;7000
1.8243095874786377;4;1096;7100
2.4182305335998535;4;1196;7200
1.4622299671173096;4;1296;7300
0.6786350011825562;4;1396;7400
3.488494396209717;4;1496;7500
1.0318049192428589;5;95;7600
1.88900625705719;5;195;7700
1.0188320875167847;5;295;7800
1.6757688522338867;5;395;7900
1.0631864070892334;5;495;8000
2.0697154998779297;5;595;8100
1.1170779466629028;5;695;8200
1.3088676929473877;5;795;8300
1.4050590991973877;5;895;8400
1.3531396389007568;5;995;8500
3.358181953430176;5;1095;8600
1.9034991264343262;5;1195;8700
0.7061864137649536;5;1295;8800
2.0083084106445312;5;1395;8900
1.5213193893432617;5;1495;9000
1.9735609292984009;6;94;9100
2.8035290241241455;6;194;9200
1.412341594696045;6;294;9300
2.4303948879241943;6;394;9400
1.2561044692993164;6;494;9500
1.1581605672836304;6;594;9600
2.479032278060913;6;694;9700
0.9499862194061279;6;794;9800
0.46955370903015137;6;894;9900
0.7077581882476807;6;994;10000
1.3897252082824707;6;1094;10100
1.15354585647583;6;1194;10200
0.45762738585472107;6;1294;10300
2.7308599948883057;6;1394;10400
3.0597035884857178;6;1494;10500
0.8169265389442444;7;93;10600
1.087874174118042;7;193;10700
0.9523791670799255;7;293;10800
0.5373388528823853;7;393;10900
1.73496413230896;7;493;11000
0.45137253403663635;7;593;11100
3.403449535369873;7;693;11200
0.41800594329833984;7;793;11300
0.501882791519165;7;893;11400
1.0383005142211914;7;993;11500
1.2986047267913818;7;1093;11600
2.5617690086364746;7;1193;11700
1.003571629524231;7;1293;11800
1.0323050022125244;7;1393;11900
1.8872302770614624;7;1493;12000
0.48233601450920105;8;92;12100
1.302180528640747;8;192;12200
0.6965581178665161;8;292;12300
1.2551734447479248;8;392;12400
0.782697856426239;8;492;12500
0.43407124280929565;8;592;12600
1.6894961595535278;8;692;12700
0.9921314120292664;8;792;12800
1.0305105447769165;8;892;12900
0.4115343391895294;8;992;13000
1.1773344278335571;8;1092;13100
1.0228378772735596;8;1192;13200
0.8116512894630432;8;1292;13300
0.9994523525238037;8;1392;13400
0.9316160082817078;8;1492;13500
2.88330340385437;9;91;13600
0.8626864552497864;9;191;13700
2.071678876876831;9;291;13800
2.3910439014434814;9;391;13900
0.6097582578659058;9;491;14000
3.222263813018799;9;591;14100
0.6558926105499268;9;691;14200
0.4054083526134491;9;791;14300
1.1154704093933105;9;891;14400
0.6225614547729492;9;991;14500
0.48783600330352783;9;1091;14600
1.477535605430603;9;1191;14700
1.5357294082641602;9;1291;14800
2.0938045978546143;9;1391;14900
1.1916297674179077;9;1491;15000
2.730928421020508;10;90;15100
0.9101039171218872;10;190;15200
1.0864861011505127;10;290;15300
1.0003007650375366;10;390;15400
0.5145958065986633;10;490;15500
0.7401351928710938;10;590;15600
0.9140932559967041;10;690;15700
1.6210212707519531;10;790;15800
4.238673686981201;10;890;15900
1.4042279720306396;10;990;16000
1.5092836618423462;10;1090;16100
1.4446780681610107;10;1190;16200
1.325614094734192;10;1290;16300
0.5446411967277527;10;1390;16400
0.6529446244239807;10;1490;16500
0.8943283557891846;11;89;16600
0.9006156921386719;11;189;16700
1.1285498142242432;11;289;16800
1.0058338642120361;11;389;16900
0.9020950198173523;11;489;17000
0.5634675025939941;11;589;17100
2.750467538833618;11;689;17200
1.0043838024139404;11;789;17300
0.7102606296539307;11;889;17400
0.8395186066627502;11;989;17500
0.691371738910675;11;1089;17600
0.5321556329727173;11;1189;17700
0.5538966655731201;11;1289;17800
0.20510080456733704;11;1389;17900
1.5417914390563965;11;1489;18000
2.101284980773926;12;88;18100
0.9777549505233765;12;188;18200
0.4194778501987457;12;288;18300
1.0122365951538086;12;388;18400
0.4310780167579651;12;488;18500
0.4597180187702179;12;588;18600
2.44599986076355;12;688;18700
0.6665891408920288;12;788;18800
0.2248653620481491;12;888;18900
0.8400856852531433;12;988;19000
3.413593053817749;12;1088;19100
0.6128199696540833;12;1188;19200
0.715962827205658;12;1288;19300
0.36466267704963684;12;1388;19400
0.6652293801307678;12;1488;19500
0.8383402228355408;13;87;19600
0.5300323963165283;13;187;19700
0.30666399002075195;13;287;19800
0.6555501222610474;13;387;19900
1.2768170833587646;13;487;20000
0.14023347198963165;13;587;20100
0.24847835302352905;13;687;20200
0.39529216289520264;13;787;20300
0.2904075086116791;13;887;20400
1.0021271705627441;13;987;20500
0.5290073752403259;13;1087;20600
0.288985013961792;13;1187;20700
0.7038512229919434;13;1287;20800
0.28393155336380005;13;1387;20900
0.4665673077106476;13;1487;21000
0.687961995601654;14;86;21100
1.2345231771469116;14;186;21200
0.9664187431335449;14;286;21300
0.9051401615142822;14;386;21400
1.7839725017547607;14;486;21500
0.43242231011390686;14;586;21600
1.377892255783081;14;686;21700
0.40843701362609863;14;786;21800
0.562159538269043;14;886;21900
0.6885227560997009;14;986;22000
0.14823894202709198;14;1086;22100
0.6361640691757202;14;1186;22200
1.078816294670105;14;1286;22300
0.6141093373298645;14;1386;22400
0.3417869210243225;14;1486;22500
2.411860704421997;15;85;22600
0.45870691537857056;15;185;22700
0.08682453632354736;15;285;22800
0.6582655310630798;15;385;22900
1.37212336063385;15;485;23000
0.1146758645772934;15;585;23100
1.0013929605484009;15;685;23200
0.5788137316703796;15;785;23300
0.1405450850725174;15;885;23400
2.9212801456451416;15;985;23500
0.41851451992988586;15;1085;23600
1.4855141639709473;15;1185;23700
0.6319355368614197;15;1285;23800
0.30458977818489075;15;1385;23900
0.2712458372116089;15;1485;24000
1.5405396223068237;16;84;24100
0.2063499242067337;16;184;24200
0.5113771557807922;16;284;24300
1.3022791147232056;16;384;24400
0.2403923124074936;16;484;24500
1.2251667976379395;16;584;24600
1.0105290412902832;16;684;24700
0.2241639345884323;16;784;24800
0.33499374985694885;16;884;24900
0.06258878856897354;16;984;25000
0.6759788990020752;16;1084;25100
0.4618113040924072;16;1184;25200
0.146169513463974;16;1284;25300
0.6649730205535889;16;1384;25400
0.2531448006629944;16;1484;25500
1.4704580307006836;17;83;25600
0.034138910472393036;17;183;25700
0.5154390335083008;17;283;25800
1.0519089698791504;17;383;25900
0.28929370641708374;17;483;26000
0.13359269499778748;17;583;26100
0.23215694725513458;17;683;26200
0.28613904118537903;17;783;26300
0.09446127712726593;17;883;26400
0.19765734672546387;17;983;26500
0.3645346164703369;17;1083;26600
0.1804337352514267;17;1183;26700
0.574561357498169;17;1283;26800
0.29202762246131897;17;1383;26900
0.6070613861083984;17;1483;27000
0.20977580547332764;18;82;27100
0.12031041085720062;18;182;27200
0.9102132320404053;18;282;27300
0.29484203457832336;18;382;27400
0.511134147644043;18;482;27500
0.5469434261322021;18;582;27600
0.03586026281118393;18;682;27700
0.05854175239801407;18;782;27800
0.2693919837474823;18;882;27900
0.4130708873271942;18;982;28000
0.3573033809661865;18;1082;28100
0.09851934760808945;18;1182;28200
0.09194513410329819;18;1282;28300
0.3894200026988983;18;1382;28400
0.39950358867645264;18;1482;28500
0.06438727676868439;19;81;28600
0.17164957523345947;19;181;28700
0.2456388771533966;19;281;28800
0.21890494227409363;19;381;28900
0.5004993677139282;19;481;29000
0.08952689915895462;19;581;29100
0.09967851638793945;19;681;29200
0.3561103940010071;19;781;29300
0.8280935287475586;19;881;29400
0.445382297039032;19;981;29500
0.9310135841369629;19;1081;29600
0.4917193055152893;19;1181;29700
0.44984984397888184;19;1281;29800
0.37568607926368713;19;1381;29900
0.8405071496963501;19;1481;30000
0.5496442914009094;20;80;30100
0.19360293447971344;20;180;30200
0.14203877747058868;20;280;30300
0.4836358428001404;20;380;30400
0.35460227727890015;20;480;30500
0.10344839096069336;20;580;30600
0.44598859548568726;20;680;30700
0.261014461517334;20;780;30800
0.2898707687854767;20;880;30900
0.08148197084665298;20;980;31000
0.060102540999650955;20;1080;31100
0.09970350563526154;20;1180;31200
0.18082642555236816;20;1280;31300
0.17748737335205078;20;1380;31400
0.12027720361948013;20;1480;31500
0.1833253800868988;21;79;31600
0.9502550363540649;21;179;31700
0.03338753059506416;21;279;31800
0.14380870759487152;21;379;31900
0.3717840909957886;21;479;32000
0.1047663539648056;21;579;32100
0.5188391208648682;21;679;32200
0.43637803196907043;21;779;32300
0.4079304337501526;21;879;32400
0.1880096197128296;21;979;32500
0.6856817603111267;21;1079;32600
0.3350532054901123;21;1179;32700
0.2852780818939209;21;1279;32800
0.432002454996109;21;1379;32900
0.18870946764945984;21;1479;33000
0.11043054610490799;22;78;33100
0.28021615743637085;22;178;33200
1.0987564325332642;22;278;33300
0.09552596509456635;22;378;33400
0.41091465950012207;22;478;33500
0.1055794358253479;22;578;33600
0.139716237783432;22;678;33700
0.27518361806869507;22;778;33800
0.1683671623468399;22;878;33900
0.1676318198442459;22;978;34000
0.21712639927864075;22;1078;34100
0.2423415631055832;22;1178;34200
0.23926731944084167;22;1278;34300
0.19325605034828186;22;1378;34400
0.13979491591453552;22;1478;34500
0.11021599918603897;23;77;34600
0.17432603240013123;23;177;34700
0.2804059684276581;23;277;34800
0.5316931009292603;23;377;34900
0.04806074500083923;23;477;35000
0.2233724445104599;23;577;35100
2.669041156768799;23;677;35200
0.16489268839359283;23;777;35300
0.1974998265504837;23;877;35400
0.4442599415779114;23;977;35500
0.48638564348220825;23;1077;35600
0.20178653299808502;23;1177;35700
0.6071158051490784;23;1277;35800
0.09455972164869308;23;1377;35900
0.17392636835575104;23;1477;36000
0.6674429178237915;24;76;36100
0.1669926941394806;24;176;36200
0.11018557846546173;24;276;36300
0.4112367033958435;24;376;36400
0.2634422183036804;24;476;36500
