loss_avg;epoch;iteration;global_iteration
4.084902763366699;0;100;100
1.595160722732544;0;200;200
1.4823625087738037;0;300;300
1.4642928838729858;0;400;400
1.4386495351791382;0;500;500
1.3469185829162598;0;600;600
1.6511876583099365;0;700;700
1.2936246395111084;0;800;800
1.5682405233383179;0;900;900
1.2983752489089966;0;1000;1000
1.246251106262207;0;1100;1100
1.3342444896697998;0;1200;1200
1.2365697622299194;0;1300;1300
1.2658839225769043;0;1400;1400
1.1865663528442383;0;1500;1500
1.1153463125228882;1;99;1600
0.9456223845481873;1;199;1700
0.916979193687439;1;299;1800
0.7361837029457092;1;399;1900
0.6945732235908508;1;499;2000
0.6408059000968933;1;599;2100
0.920615017414093;1;699;2200
0.46373462677001953;1;799;2300
0.6285305619239807;1;899;2400
0.6542921662330627;1;999;2500
0.5149712562561035;1;1099;2600
0.39049476385116577;1;1199;2700
0.5542778372764587;1;1299;2800
0.4884127974510193;1;1399;2900
0.31414124369621277;1;1499;3000
0.48019564151763916;2;98;3100
0.41706523299217224;2;198;3200
0.46007460355758667;2;298;3300
0.2884274125099182;2;398;3400
0.26646319031715393;2;498;3500
0.2569234073162079;2;598;3600
0.2333371639251709;2;698;3700
0.44172194600105286;2;798;3800
0.3872718811035156;2;898;3900
0.43754491209983826;2;998;4000
0.2508039176464081;2;1098;4100
0.18523846566677094;2;1198;4200
0.11796176433563232;2;1298;4300
0.3142379820346832;2;1398;4400
0.24583984911441803;2;1498;4500
0.29405438899993896;3;97;4600
0.11334185302257538;3;197;4700
0.19027681648731232;3;297;4800
0.30513373017311096;3;397;4900
0.24505336582660675;3;497;5000
0.185065358877182;3;597;5100
0.26855453848838806;3;697;5200
0.20956823229789734;3;797;5300
0.11090447008609772;3;897;5400
0.34826770424842834;3;997;5500
0.3861280679702759;3;1097;5600
0.5265827178955078;3;1197;5700
0.17872658371925354;3;1297;5800
0.1751391738653183;3;1397;5900
0.4419580101966858;3;1497;6000
0.22379209101200104;4;96;6100
0.23531007766723633;4;196;6200
0.15206408500671387;4;296;6300
0.10038531571626663;4;396;6400
0.1432277262210846;4;496;6500
0.1219179630279541;4;596;6600
0.24386121332645416;4;696;6700
0.20412474870681763;4;796;6800
0.17630769312381744;4;896;6900
0.21322818100452423;4;996;7000
0.2280386984348297;4;1096;7100
0.3022788166999817;4;1196;7200
0.1827787458896637;4;1296;7300
0.08482937514781952;4;1396;7400
0.4360617995262146;4;1496;7500
0.12897561490535736;5;95;7600
0.23612578213214874;5;195;7700
0.12735401093959808;5;295;7800
0.20947110652923584;5;395;7900
0.13289830088615417;5;495;8000
0.2587144374847412;5;595;8100
0.13963474333286285;5;695;8200
0.16360846161842346;5;795;8300
0.17563238739967346;5;895;8400
0.1691424548625946;5;995;8500
0.419772744178772;5;1095;8600
0.23793739080429077;5;1195;8700
0.0882733017206192;5;1295;8800
0.2510385513305664;5;1395;8900
0.19016492366790771;5;1495;9000
0.2466951161623001;6;94;9100
0.3504411280155182;6;194;9200
0.17654269933700562;6;294;9300
0.3037993609905243;6;394;9400
0.15701305866241455;6;494;9500
0.1447700709104538;6;594;9600
0.30987903475761414;6;694;9700
0.11874827742576599;6;794;9800
0.05869421362876892;6;894;9900
0.08846977353096008;6;994;10000
0.17371565103530884;6;1094;10100
0.14419323205947876;6;1194;10200
0.057203423231840134;6;1294;10300
0.3413574993610382;6;1394;10400
0.3824629485607147;6;1494;10500
0.10211581736803055;7;93;10600
0.13598427176475525;7;193;10700
0.11904739588499069;7;293;10800
0.06716735661029816;7;393;10900
0.21687051653862;7;493;11000
0.056421566754579544;7;593;11100
0.42543119192123413;7;693;11200
0.05225074291229248;7;793;11300
0.06273534893989563;7;893;11400
0.12978756427764893;7;993;11500
0.16232559084892273;7;1093;11600
0.3202211260795593;7;1193;11700
0.12544645369052887;7;1293;11800
0.12903812527656555;7;1393;11900
0.2359037846326828;7;1493;12000
0.06029200181365013;8;92;12100
0.16277256608009338;8;192;12200
0.08706976473331451;8;292;12300
0.1568966805934906;8;392;12400
0.09783723205327988;8;492;12500
0.05425890535116196;8;592;12600
0.21118701994419098;8;692;12700
0.1240164265036583;8;792;12800
0.12881381809711456;8;892;12900
0.05144179239869118;8;992;13000
0.14716680347919464;8;1092;13100
0.12785473465919495;8;1192;13200
0.1014564111828804;8;1292;13300
0.12493154406547546;8;1392;13400
0.11645200103521347;8;1492;13500
0.36041292548179626;9;91;13600
0.1078358069062233;9;191;13700
0.2589598596096039;9;291;13800
0.2988804876804352;9;391;13900
0.07621978223323822;9;491;14000
0.40278297662734985;9;591;14100
0.08198657631874084;9;691;14200
0.05067604407668114;9;791;14300
0.13943380117416382;9;891;14400
0.07782018184661865;9;991;14500
0.06097950041294098;9;1091;14600
0.18469195067882538;9;1191;14700
0.19196617603302002;9;1291;14800
0.2617255747318268;9;1391;14900
0.14895372092723846;9;1491;15000
0.3413660526275635;10;90;15100
0.1137629896402359;10;190;15200
0.1358107626438141;10;290;15300
0.12503759562969208;10;390;15400
0.06432447582483292;10;490;15500
0.09251689910888672;10;590;15600
0.11426165699958801;10;690;15700
0.20262765884399414;10;790;15800
