lr;epoch;iteration;global_iteration
8.105707306240285e-07;11;689;17200
8.475830927529796e-07;11;789;17300
8.845954548819306e-07;11;889;17400
9.216078170108816e-07;11;989;17500
9.586201791398327e-07;11;1089;17600
9.956325412687837e-07;11;1189;17700
1.032644903397735e-06;11;1289;17800
1.069657265526686e-06;11;1389;17900
1.1066696276556371e-06;11;1489;18000
1.1436819897845881e-06;12;88;18100
1.1806943519135391e-06;12;188;18200
1.2177067140424904e-06;12;288;18300
1.2547190761714414e-06;12;388;18400
1.2917314383003924e-06;12;488;18500
1.3287438004293436e-06;12;588;18600
1.3657561625582946e-06;12;688;18700
1.4027685246872458e-06;12;788;18800
1.4397808868161966e-06;12;888;18900
1.4767932489451478e-06;12;988;19000
1.513805611074099e-06;12;1088;19100
1.5508179732030498e-06;12;1188;19200
1.587830335332001e-06;12;1288;19300
1.6248426974609522e-06;12;1388;19400
1.6618550595899032e-06;12;1488;19500
1.6988674217188542e-06;13;87;19600
1.7358797838478052e-06;13;187;19700
1.7728921459767565e-06;13;287;19800
1.8099045081057072e-06;13;387;19900
1.8469168702346585e-06;13;487;20000
1.8839292323636097e-06;13;587;20100
1.9209415944925607e-06;13;687;20200
1.9579539566215117e-06;13;787;20300
1.9949663187504627e-06;13;887;20400
2.031978680879414e-06;13;987;20500
2.0689910430083647e-06;13;1087;20600
2.106003405137316e-06;13;1187;20700
2.143015767266267e-06;13;1287;20800
2.180028129395218e-06;13;1387;20900
2.217040491524169e-06;13;1487;21000
2.25405285365312e-06;14;86;21100
2.2910652157820715e-06;14;186;21200
2.3280775779110226e-06;14;286;21300
2.3650899400399736e-06;14;386;21400
2.4021023021689246e-06;14;486;21500
2.439114664297876e-06;14;586;21600
2.4761270264268266e-06;14;686;21700
2.513139388555778e-06;14;786;21800
2.550151750684729e-06;14;886;21900
2.58716411281368e-06;14;986;22000
2.6241764749426314e-06;14;1086;22100
2.661188837071582e-06;14;1186;22200
2.698201199200533e-06;14;1286;22300
2.7352135613294844e-06;14;1386;22400
2.7722259234584354e-06;14;1486;22500
2.809238285587386e-06;15;85;22600
2.8462506477163374e-06;15;185;22700
2.8832630098452884e-06;15;285;22800
2.9202753719742394e-06;15;385;22900
2.957287734103191e-06;15;485;23000
2.994300096232142e-06;15;585;23100
3.0313124583610933e-06;15;685;23200
3.068324820490044e-06;15;785;23300
3.105337182618995e-06;15;885;23400
3.1423495447479463e-06;15;985;23500
3.1793619068768973e-06;15;1085;23600
3.216374269005848e-06;15;1185;23700
3.2533866311347993e-06;15;1285;23800
3.2903989932637503e-06;15;1385;23900
3.3274113553927013e-06;15;1485;24000
3.3644237175216527e-06;16;84;24100
3.4014360796506033e-06;16;184;24200
3.4384484417795543e-06;16;284;24300
3.4754608039085057e-06;16;384;24400
3.5124731660374568e-06;16;484;24500
3.549485528166408e-06;16;584;24600
3.586497890295359e-06;16;684;24700
3.6235102524243098e-06;16;784;24800
3.660522614553261e-06;16;884;24900
3.697534976682212e-06;16;984;25000
3.734547338811163e-06;16;1084;25100
3.7715597009401146e-06;16;1184;25200
3.808572063069065e-06;16;1284;25300
3.845584425198017e-06;16;1384;25400
3.882596787326968e-06;16;1484;25500
3.919609149455919e-06;17;83;25600
3.95662151158487e-06;17;183;25700
3.993633873713821e-06;17;283;25800
4.030646235842772e-06;17;383;25900
4.0676585979717235e-06;17;483;26000
4.104670960100674e-06;17;583;26100
4.141683322229625e-06;17;683;26200
4.1786956843585765e-06;17;783;26300
4.2157080464875275e-06;17;883;26400
4.252720408616478e-06;17;983;26500
4.2897327707454295e-06;17;1083;26600
4.3267451328743805e-06;17;1183;26700
4.3637574950033315e-06;17;1283;26800
4.4007698571322825e-06;17;1383;26900
4.4377822192612335e-06;17;1483;27000
4.4747945813901845e-06;18;82;27100
4.5118069435191355e-06;18;182;27200
4.5488193056480865e-06;18;282;27300
4.585831667777038e-06;18;382;27400
4.622844029905989e-06;18;482;27500
4.6598563920349395e-06;18;582;27600
4.696868754163891e-06;18;682;27700
4.733881116292842e-06;18;782;27800
4.770893478421793e-06;18;882;27900
4.807905840550744e-06;18;982;28000
4.844918202679695e-06;18;1082;28100
4.881930564808646e-06;18;1182;28200
4.918942926937597e-06;18;1282;28300
4.955955289066548e-06;18;1382;28400
4.9929676511955e-06;18;1482;28500
4.996668887408395e-06;19;81;28600
4.9925564027274e-06;19;181;28700
4.988443918046405e-06;19;281;28800
4.9843314333654116e-06;19;381;28900
4.980218948684417e-06;19;481;29000
4.976106464003421e-06;19;581;29100
4.971993979322428e-06;19;681;29200
4.967881494641433e-06;19;781;29300
4.963769009960438e-06;19;881;29400
4.959656525279444e-06;19;981;29500
4.955544040598449e-06;19;1081;29600
4.951431555917454e-06;19;1181;29700
4.94731907123646e-06;19;1281;29800
4.943206586555466e-06;19;1381;29900
4.939094101874471e-06;19;1481;30000
4.934981617193476e-06;20;80;30100
4.930869132512482e-06;20;180;30200
4.926756647831487e-06;20;280;30300
4.922644163150493e-06;20;380;30400
4.918531678469498e-06;20;480;30500
4.914419193788503e-06;20;580;30600
4.910306709107509e-06;20;680;30700
4.906194224426514e-06;20;780;30800
4.90208173974552e-06;20;880;30900
4.897969255064526e-06;20;980;31000
4.89385677038353e-06;20;1080;31100
4.889744285702536e-06;20;1180;31200
4.885631801021542e-06;20;1280;31300
4.881519316340547e-06;20;1380;31400
4.877406831659552e-06;20;1480;31500
4.873294346978558e-06;21;79;31600
4.869181862297563e-06;21;179;31700
4.865069377616568e-06;21;279;31800
4.860956892935575e-06;21;379;31900
4.85684440825458e-06;21;479;32000
4.852731923573585e-06;21;579;32100
4.848619438892591e-06;21;679;32200
4.844506954211596e-06;21;779;32300
4.840394469530601e-06;21;879;32400
4.836281984849607e-06;21;979;32500
4.832169500168613e-06;21;1079;32600
4.828057015487617e-06;21;1179;32700
4.823944530806623e-06;21;1279;32800
4.819832046125629e-06;21;1379;32900
4.815719561444634e-06;21;1479;33000
4.81160707676364e-06;22;78;33100
4.807494592082645e-06;22;178;33200
4.80338210740165e-06;22;278;33300
4.799269622720656e-06;22;378;33400
4.795157138039661e-06;22;478;33500
4.791044653358667e-06;22;578;33600
4.786932168677672e-06;22;678;33700
4.782819683996677e-06;22;778;33800
4.778707199315683e-06;22;878;33900
4.774594714634689e-06;22;978;34000
4.770482229953694e-06;22;1078;34100
4.766369745272699e-06;22;1178;34200
4.762257260591705e-06;22;1278;34300
4.75814477591071e-06;22;1378;34400
4.754032291229715e-06;22;1478;34500
4.749919806548722e-06;23;77;34600
4.745807321867726e-06;23;177;34700
4.7416948371867315e-06;23;277;34800
4.737582352505738e-06;23;377;34900
4.733469867824743e-06;23;477;35000
4.729357383143748e-06;23;577;35100
4.725244898462754e-06;23;677;35200
4.721132413781759e-06;23;777;35300
4.717019929100764e-06;23;877;35400
4.71290744441977e-06;23;977;35500
4.708794959738776e-06;23;1077;35600
4.7046824750577804e-06;23;1177;35700
4.700569990376786e-06;23;1277;35800
4.696457505695792e-06;23;1377;35900
4.692345021014797e-06;23;1477;36000
4.688232536333803e-06;24;76;36100
4.684120051652808e-06;24;176;36200
4.680007566971813e-06;24;276;36300
4.675895082290819e-06;24;376;36400
4.671782597609824e-06;24;476;36500
4.66767011292883e-06;24;576;36600
4.663557628247835e-06;24;676;36700
4.659445143566841e-06;24;776;36800
4.655332658885846e-06;24;876;36900
4.651220174204852e-06;24;976;37000
4.647107689523857e-06;24;1076;37100
4.642995204842862e-06;24;1176;37200
4.638882720161868e-06;24;1276;37300
4.634770235480873e-06;24;1376;37400
4.6306577507998784e-06;24;1476;37500
4.626545266118884e-06;25;75;37600
4.622432781437889e-06;25;175;37700
4.618320296756895e-06;25;275;37800
4.614207812075901e-06;25;375;37900
4.610095327394906e-06;25;475;38000
4.605982842713911e-06;25;575;38100
4.601870358032917e-06;25;675;38200
4.597757873351922e-06;25;775;38300
4.5936453886709274e-06;25;875;38400
4.589532903989933e-06;25;975;38500
4.585420419308938e-06;25;1075;38600
4.5813079346279435e-06;25;1175;38700
4.57719544994695e-06;25;1275;38800
4.573082965265955e-06;25;1375;38900
4.5689704805849595e-06;25;1475;39000
4.564857995903966e-06;26;74;39100
4.560745511222971e-06;26;174;39200
4.5566330265419764e-06;26;274;39300
4.552520541860982e-06;26;374;39400
4.548408057179987e-06;26;474;39500
4.5442955724989925e-06;26;574;39600
4.540183087817998e-06;26;674;39700
4.536070603137004e-06;26;774;39800
4.531958118456009e-06;26;874;39900
4.527845633775014e-06;26;974;40000
4.52373314909402e-06;26;1074;40100
4.5196206644130254e-06;26;1174;40200
4.515508179732031e-06;26;1274;40300
4.511395695051036e-06;26;1374;40400
4.507283210370042e-06;26;1474;40500
4.503170725689047e-06;27;73;40600
4.499058241008052e-06;27;173;40700
4.494945756327058e-06;27;273;40800
4.490833271646064e-06;27;373;40900
4.486720786965069e-06;27;473;41000
4.4826083022840744e-06;27;573;41100
4.47849581760308e-06;27;673;41200
4.474383332922085e-06;27;773;41300
4.4702708482410905e-06;27;873;41400
4.466158363560097e-06;27;973;41500
4.462045878879101e-06;27;1073;41600
4.4579333941981065e-06;27;1173;41700
4.453820909517113e-06;27;1273;41800
