combo_source,repo,run_name,epoch,step,dev_entity_f1,dev_entity_precision,dev_entity_recall,test_entity_f1,test_entity_precision,test_entity_recall,remark,logged_epochs,fitlog_state,exit_code,model_name,lr,encoder_lr,warmup,batch_size,accumulation_steps,n_epochs,cnn_dim,biaffine_size,n_head,n_layer,cnn_depth,logit_drop,seed,ent_thres,head_type,loss_type,asl_gamma_pos,asl_gamma_neg,asl_clip,adv_type,adv_epsilon,adv_alpha,adv_k,adv_loss_weight,size_feature_type,word_pooling,pool_gate_type,refiner_type,span_encoder_type,pair_scorer,mlp_type,fusion_type,bfm_type,sdm_mask_type,sdm_topk,sad_topk,sad_use_rel_bias,sad_gate,checkpoint_monitor,fp16,num_workers,log_dir,run_dir,combo_note,command
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,11,16511,97.85,98.32,97.39,97.61,98.15,97.08,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,12,18012,97.91,98.56,97.27,97.5,97.68,97.32,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,13,19513,97.98,97.98,97.98,97.62,97.92,97.32,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,14,21014,97.97,98.56,97.39,97.31,97.67,96.96,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,15,22515,97.9,98.91,96.91,97.91,98.76,97.08,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,16,24016,97.11,98.53,95.72,97.28,98.87,95.74,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,17,25517,98.03,98.44,97.62,97.02,96.96,97.08,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,18,27018,97.57,97.28,97.86,96.92,96.17,97.69,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,19,28519,97.92,97.86,97.98,96.92,96.28,97.57,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
weibo_best,ner-2026-04,food_weibo_best_long_b8_20260702_220527,20,30020,98.03,98.68,97.39,97.75,97.81,97.69,,21,finish,0,/root/.cache/modelscope/hub/models/AI_ModelScope/bert_base_chinese,2e-05,2e-05,0.1,8,2,50,120,200,4,1,1,0.1,42,,residual_mlp,,,,,,,,,,bias,mix,scalar,maskcnn,none,biaffine,mlp,sum,pyramid_gated,soft_topk_mix,2,,,,f#f#test,False,2,/root/shared-nvme/projects/difinet/ner-2026-04/logs/log_20260702_220538,/root/shared-nvme/projects/difinet/ner-2026-04/runs/food_weibo_best_long_b8_20260702_220527,weibo optimal modules: residual_mlp + pyramid_gated BFM + soft_topk_mix SDM + mix pooling + maskcnn refiner,/root/.conda/envs/difinet/bin/python train.py -n 50 -d food --model_name /root/.cache/modelscope/hub/models/AI-ModelScope/bert-base-chinese --lr 2e-5 --cnn_dim 120 -b 8 --accumulation_steps 2 --cnn_depth 1 --n_head 4 --logit_drop 0.1 --seed 42 --n_layer 1 --size_feature_type bias --word_pooling mix --pool_gate_type scalar --refiner_type maskcnn --span_encoder_type none --pair_scorer biaffine --mlp_type mlp --fusion_type sum --head_type residual_mlp --bfm_type pyramid_gated --sdm_mask_type soft_topk_mix --sdm_topk 2 --checkpoint_monitor 'f#f#test'
