epoch,step,dev_acc,dev_precision,dev_recall,dev_f1,test_acc,test_precision,test_recall,test_f1,remark
21,1974,0.987370305300494,0.9569266589057043,0.9844311377245509,0.9704840613931524,0.9917142459267512,0.9742647058823529,0.9706959706959707,0.9724770642201834,
22,2068,0.9874034541054795,0.9558139534883721,0.9844311377245509,0.9699115044247788,0.9910875922573458,0.9683698296836983,0.9719169719169719,0.9701401584399756,
23,2162,0.9874034541054795,0.9513888888888888,0.9844311377245509,0.9676280164802825,0.9919231304832196,0.9766584766584766,0.9706959706959707,0.9736680955296999,
24,2256,0.9870056684456525,0.9448275862068966,0.9844311377245509,0.9642228739002932,0.9900779835677482,0.9671532846715328,0.9706959706959707,0.9689213893967094,
25,2350,0.9876354957403786,0.9525462962962963,0.98562874251497,0.968805179517363,0.9910179640718563,0.9659367396593674,0.9694749694749695,0.9677026203534431,
26,2444,0.9864421387608977,0.9535962877030162,0.9844311377245509,0.9687684148497349,0.9896254003620666,0.9695493300852619,0.9719169719169719,0.9707317073170733,
27,2538,0.9870388172506381,0.9513888888888888,0.9844311377245509,0.9676280164802825,0.9900083553822587,0.968408262454435,0.9731379731379731,0.9707673568818515,
28,2632,0.986806775615739,0.9457900807381776,0.9820359281437125,0.963572267920094,0.9908438936081325,0.9660194174757282,0.9719169719169719,0.9689592209373099,
29,2726,0.9859780554910995,0.9445086705202312,0.9784431137724551,0.9611764705882353,0.9894165158055981,0.9718826405867971,0.9706959706959707,0.9712889431887599,
30,2820,0.9856465674412438,0.9413118527042578,0.9796407185628743,0.960093896713615,0.9898690990112797,0.9672330097087378,0.9731379731379731,0.9701765063907486,
31,2914,0.9861437995160275,0.945664739884393,0.9796407185628743,0.9623529411764705,0.9893817017128533,0.9730722154222766,0.9706959706959707,0.9718826405867971,
32,3008,0.9862763947359697,0.9468208092485549,0.9808383233532935,0.963529411764706,0.9903564963097061,0.9695863746958637,0.9731379731379731,0.9713589274832419,
33,3102,0.9867736268107534,0.9534342258440046,0.9808383233532935,0.9669421487603306,0.9910875922573458,0.9706959706959707,0.9706959706959707,0.9706959706959707,
34,3196,0.9865084363708688,0.947856315179606,0.9796407185628743,0.9634864546525325,0.9901824258459825,0.9671532846715328,0.9706959706959707,0.9689213893967094,
35,3290,0.9864421387608977,0.9479166666666666,0.9808383233532935,0.9640965273690406,0.9908090795153879,0.9719169719169719,0.9719169719169719,0.9719169719169719,
36,3384,0.9863758411509265,0.9479768786127167,0.9820359281437125,0.9647058823529412,0.9900083553822587,0.9683313032886723,0.9706959706959707,0.9695121951219512,
37,3478,0.9862432459309842,0.9501160092807425,0.9808383233532935,0.9652327637006483,0.9899039131040245,0.9754601226993865,0.9706959706959707,0.9730722154222766,
38,3572,0.9862763947359697,0.9490150637311703,0.9808383233532935,0.9646643109540636,0.9900431694750035,0.9719169719169719,0.9719169719169719,0.9719169719169719,
39,3666,0.9862432459309842,0.945664739884393,0.9796407185628743,0.9623529411764705,0.9900779835677482,0.9683313032886723,0.9706959706959707,0.9695121951219512,
