epoch,step,dev_acc,dev_precision,dev_recall,dev_f1,test_acc,test_precision,test_recall,test_f1,remark
1,94,0.847416050651374,0.03125,0.010778443113772455,0.016028495102404276,0.8176785962957805,0.009287925696594427,0.003663003663003663,0.005253940455341505,best
2,188,0.9264096529320118,0.691717791411043,0.5401197604790419,0.6065904505716208,0.9193009330176856,0.6096324461343473,0.5873015873015873,0.5982587064676617,best
3,282,0.9609175589220008,0.7659574468085106,0.732934131736527,0.7490820073439411,0.959894165158056,0.7062857142857143,0.7545787545787546,0.729634002361275,best
4,376,0.9743428249411609,0.8701594533029613,0.9149700598802395,0.8920023350846469,0.9774752819941512,0.8556461001164144,0.8974358974358975,0.8760429082240764,best
5,470,0.9774256638048199,0.8555555555555555,0.9221556886227545,0.887608069164265,0.9818618576799889,0.8745603751465416,0.9108669108669109,0.8923444976076556,
6,564,0.9828952166274406,0.8914285714285715,0.9341317365269461,0.912280701754386,0.9849254978415263,0.9226993865030675,0.9181929181929182,0.9204406364749083,best
7,658,0.984917293731561,0.8905191873589164,0.9449101796407186,0.9169087739686228,0.9867010165715081,0.9356435643564357,0.9230769230769231,0.9293177627535342,best
8,752,0.9852819305864023,0.9243986254295533,0.9664670658682635,0.9449648711943794,0.9850647542125052,0.8974056603773585,0.9291819291819292,0.9130173965206959,best
9,846,0.985779162661186,0.9155405405405406,0.9736526946107784,0.9437028438769588,0.9854477092326974,0.8923976608187134,0.9316239316239316,0.9115890083632019,
10,940,0.9868730732257102,0.9309551208285386,0.9688622754491018,0.9495305164319249,0.988337278930511,0.901775147928994,0.9304029304029304,0.9158653846153847,best
11,1034,0.985547121026287,0.9387990762124712,0.9736526946107784,0.9559082892416225,0.9871884138699345,0.9042553191489362,0.9340659340659341,0.918918918918919,best
12,1128,0.9857128650512149,0.9301260022909508,0.9724550898203593,0.9508196721311475,0.9902172399387272,0.9318181818181818,0.9511599511599511,0.9413897280966766,
13,1222,0.9875029005204362,0.9434832756632064,0.9796407185628743,0.9612220916568742,0.991052778164601,0.9541062801932367,0.9645909645909646,0.9593199757134184,best
14,1316,0.9881658766201479,0.951276102088167,0.9820359281437125,0.966411314083677,0.9911572204428353,0.9695121951219512,0.9706959706959707,0.9701037217815741,best
15,1410,0.9877349421553353,0.9557109557109557,0.9820359281437125,0.9686946249261665,0.9910875922573458,0.9683313032886723,0.9706959706959707,0.9695121951219512,best
16,1504,0.9864089899559121,0.945664739884393,0.9796407185628743,0.9623529411764705,0.9894513298983428,0.9600484261501211,0.9682539682539683,0.9641337386018237,
17,1598,0.9880332814002055,0.9448275862068966,0.9844311377245509,0.9642228739002932,0.9919579445759643,0.9743276283618582,0.9731379731379731,0.9737324373854612,
18,1692,0.987204561275566,0.9491329479768786,0.9832335329341317,0.9658823529411765,0.9914705472775379,0.9719512195121951,0.9731379731379731,0.9725442342892008,
19,1786,0.9882653230351046,0.9491916859122402,0.9844311377245509,0.9664902998236332,0.9917838741122407,0.9779141104294479,0.9731379731379731,0.9755201958384332,
20,1880,0.9880664302051911,0.9558652729384437,0.98562874251497,0.9705188679245284,0.9913661049993037,0.9731051344743277,0.9719169719169719,0.9725106902871106,best
